,model,extension,location,working_hours,price,const_year
665,320,D3,NL,5,99800,2021
666,320,D3,NL,7,99800,2021
667,320,D3,NL,8,99800,2021
668,320,D3,BE,5,99500,2021
669,320,NG,NL,7,118000,2020
670,320,D2,NL,6,185000,2016
671,320,D3,NL,10,98500,2020
672,320,D3,NL,8,102000,2020
673,320,D3,BE,4,105000,2021
674,320,D3,NL,6,99800,2021
675,320,D3,UA,7,139800,2021
676,320,D3,UA,15,135000,2021
677,320,D3,LU,10,109000,2021
678,320,D,NL,3,94000,2021
679,320,D3,NL,7,94000,2021
680,320,NG,BE,9,119000,2021
681,320,D3,NL,5,95000,2021
682,320,D3,NL,7,95000,2021
683,320,D3,NL,10,109000,2021
684,320,NG,DE,33,165000,2019
685,320,D,UA,5,126000,2021
686,320,D3,NL,7,97500,2021
687,320,D3,RO,5,114900,2021
688,320,D3,NL,7,95000,2020
689,320,D3,NL,6,94000,2020
690,320,D3,UA,13,110000,2021
691,320,D3,NL,7,97500,2020
692,320,D,FR,8,62000,2011
693,320,D3,NL,4,97500,2021
694,320,E,FR,3,114000,2013
695,320,D3,LU,8,102500,2020
696,320,D3,LU,8,112500,2021
697,320,F,PL,7,85000,2017
698,320,E,FR,6,80000,2015
699,320,E,PL,4,119000,2016
700,320,D2,RU,9,80478,2016
701,320,F,FR,2,145000,2017
702,320,E,PT,9,120000,2012
703,320,E,FR,8,85000,2014
704,320,NG,PL,1,144000,2019
705,320,E,SK,4,105000,2014
706,320,F,BE,3,119000,2016
707,320,NG,PL,1,141000,2018
708,320,NG,DE,2,140000,2018
709,320,D,NL,3,97500,2021
710,320,D,NL,7,99800,2020
711,320,E,AT,10,76018,2013
712,320,F,PT,7,127500,2017
713,320,NG,UK,5,99561,2018
714,320,D2,RU,7,99711,2017
715,320,F,FR,3,137000,2017
716,320,D2,RU,5,106510,2017
717,320,D2,RU,6,104244,2017
718,320,E,ES,9,83000,2012
719,320,D3,NL,8,102500,2020
720,320,D3,NL,7,102500,2020
721,320,D3,NL,5,97500,2021
722,320,D3,NL,6,112500,2021
723,320,D3,NL,8,109500,2021
724,320,D3,BE,7,104500,2021
725,323,E,FI,11483,86700,2012
726,323,E,EE,12081,67900,2013
727,323,D,DE,13900,55000,2009
728,323,E,NL,8765,75000,2014
729,323,D3,NL,1621,94800,2021
730,323,E,IT,2820,97000,2016
731,323,E,NO,6273,107391,2015
732,323,E,DE,9362,70000,2014
733,323,D,DE,12800,59900,2011
734,323,D,DE,7100,75000,2011
735,323,E,DE,6140,79990,2012
736,323,F,PL,7400,105500,2016
737,323,E,NL,8500,69000,2011
738,323,E,DE,11000,66900,2013
739,323,E,DE,7280,52941,2012
740,323,D,NL,19495,46800,2010
741,323,E,FR,2924,145000,2016
742,323,E,DE,8900,53900,2012
743,323,F,FR,4274,145000,2017
744,323,E,NL,7633,66500,2013
745,323,D,NL,7660,67500,2011
746,323,E,FR,5437,150000,2016
747,323,D,DE,14800,47000,2007
748,323,D,DE,9227,61000,2010
749,323,D,IT,13250,46500,2008
750,323,E,NO,5955,119007,2014
751,323,E,FR,3477,125000,2016
752,323,E,DE,7800,81000,2014
753,323,D,PL,17100,36500,2007
754,323,E,NO,12079,70550,2013
755,323,D,PL,10031,60730,2011
756,323,F,PL,9240,117212,2017
757,323,D,BE,8800,55000,2008
758,323,D,NL,12200,49900,2010
759,323,E,DE,11500,66900,2013
760,323,D,SE,11241,45804,2008
761,323,D,DE,6733,77000,2009
762,323,D,NL,9216,51500,2009
763,323,D,AT,18849,45850,2008
